size,ordering,algorithm,time_seconds,column
100,random,bubble_sort,0.000355,
100,random,selection_sort,0.000168,
100,random,insertion_sort,0.000187,
100,sorted,bubble_sort,8e-06,
100,sorted,selection_sort,0.00016,
100,sorted,insertion_sort,1.1e-05,
100,reversed,bubble_sort,0.000449,
100,reversed,selection_sort,0.00017,
100,reversed,insertion_sort,0.000316,
500,random,bubble_sort,0.010873,
500,random,selection_sort,0.005242,
500,random,insertion_sort,0.004765,
500,sorted,bubble_sort,4.5e-05,
500,sorted,selection_sort,0.005241,
500,sorted,insertion_sort,7.2e-05,
500,reversed,bubble_sort,0.01379,
500,reversed,selection_sort,0.005395,
500,reversed,insertion_sort,0.008365,
1000,random,bubble_sort,0.053431,
1000,random,selection_sort,0.021237,
1000,random,insertion_sort,0.020958,
1000,sorted,bubble_sort,8.4e-05,
1000,sorted,selection_sort,0.021211,
1000,sorted,insertion_sort,0.000143,
1000,reversed,bubble_sort,0.068813,
1000,reversed,selection_sort,0.021263,
1000,reversed,insertion_sort,0.038922,
2500,random,bubble_sort,0.362677,
2500,random,selection_sort,0.130629,
2500,random,insertion_sort,0.132181,
2500,sorted,bubble_sort,0.000179,
2500,sorted,selection_sort,0.131367,
2500,sorted,insertion_sort,0.000333,
2500,reversed,bubble_sort,0.491537,
2500,reversed,selection_sort,0.133572,
2500,reversed,insertion_sort,0.255215,
5000,random,bubble_sort,1.52784,
5000,random,selection_sort,0.523394,
5000,random,insertion_sort,0.537205,
5000,sorted,bubble_sort,0.000362,
5000,sorted,selection_sort,0.525353,
5000,sorted,insertion_sort,0.000704,
5000,reversed,bubble_sort,2.107813,
5000,reversed,selection_sort,0.527687,
5000,reversed,insertion_sort,1.049391,
7500,random,bubble_sort,3.412999,
7500,random,selection_sort,1.181672,
7500,random,insertion_sort,1.204202,
7500,sorted,bubble_sort,0.000575,
7500,sorted,selection_sort,1.209151,
7500,sorted,insertion_sort,0.001091,
7500,reversed,bubble_sort,4.797515,
7500,reversed,selection_sort,1.218965,
7500,reversed,insertion_sort,2.401128,
10000,random,bubble_sort,6.083651,
10000,random,selection_sort,2.107084,
10000,random,insertion_sort,2.147633,
10000,sorted,bubble_sort,0.000753,
10000,sorted,selection_sort,2.202269,
10000,sorted,insertion_sort,0.001378,
10000,reversed,bubble_sort,8.593043,
10000,reversed,selection_sort,2.210991,
10000,reversed,insertion_sort,4.341346,
1000,random,bubble_sort,0.058986,OP_CARRIER (text)
1000,random,selection_sort,0.028499,OP_CARRIER (text)
1000,random,insertion_sort,0.036473,OP_CARRIER (text)
1000,sorted,bubble_sort,0.000204,OP_CARRIER (text)
1000,sorted,selection_sort,0.034429,OP_CARRIER (text)
1000,sorted,insertion_sort,0.000173,OP_CARRIER (text)
1000,reversed,bubble_sort,0.077946,OP_CARRIER (text)
1000,reversed,selection_sort,0.029191,OP_CARRIER (text)
1000,reversed,insertion_sort,0.042001,OP_CARRIER (text)
